date,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46
2023-08-14,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,5,0,10,0,4,0,0,1,0,2,1,15,0,1,3,0,0,0,0,0,0,0,3,1,2,10,0,0,0,4,2,11
2023-08-21,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,12,0,2,0,0,0,0,1,1,16,0,0,0,0,0,0,1,0,0,0,0,1,3,5,0,0,1,0,0,7
2023-08-28,1,7,1,1,0,1,0,1,0,0,0,0,0,0,1,4,1,17,0,2,0,0,1,0,3,0,14,0,0,0,0,0,1,0,0,0,0,3,2,1,7,1,0,0,1,0,0
2023-09-04,0,3,1,2,0,0,0,0,1,0,0,0,0,1,0,3,0,30,0,0,1,0,1,0,1,7,12,0,1,1,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0
2023-09-11,2,3,1,2,0,0,0,2,0,0,0,0,0,0,0,6,1,41,0,1,2,0,1,0,0,2,10,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2023-09-18,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,1,14,0,4,0,0,1,1,0,1,8,0,0,0,0,1,0,0,1,2,0,0,5,0,2,0,0,0,0,0,1
2023-09-25,0,2,2,1,0,0,0,1,0,0,0,0,1,1,2,4,0,16,0,0,0,0,0,0,2,0,14,0,0,1,0,0,0,0,0,0,1,2,4,0,4,0,0,0,2,2,2
2023-10-02,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,7,0,16,0,2,1,0,0,0,0,2,38,0,0,0,0,0,0,0,1,0,0,4,2,1,2,0,0,0,0,0,1
2023-10-09,0,0,4,1,0,0,0,2,0,0,0,0,0,1,1,4,4,14,0,2,0,0,0,1,1,2,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2
2023-10-16,1,0,1,4,1,0,0,1,0,0,0,0,0,0,0,4,4,16,0,1,0,1,0,0,1,2,17,0,0,0,0,2,1,0,0,0,0,2,0,0,4,0,0,0,3,0,1
2023-10-23,0,1,1,0,6,1,0,0,0,0,0,0,1,3,0,2,1,19,0,1,0,0,1,0,0,2,18,0,0,2,0,2,0,0,0,1,0,0,1,2,1,3,0,0,1,0,3
2023-10-30,0,1,1,0,0,0,0,1,1,0,0,0,0,1,2,3,1,18,0,2,0,0,1,0,0,1,10,0,0,2,2,1,0,0,0,1,0,2,0,1,1,3,0,0,0,0,5
2023-11-06,0,0,2,0,4,0,0,0,0,0,0,0,2,2,3,3,4,7,0,2,2,1,1,0,0,2,18,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,5,0,2
2023-11-13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,4,0,0,1,2,2,0,0,0,16,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2
2023-11-20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,7,0,0,0,0,0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2023-11-27,0,2,0,3,1,0,0,2,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2023-12-04,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,8,0,0,2,0,1,0,0,4,12,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2023-12-11,0,0,1,1,6,1,0,0,0,0,0,0,0,0,1,1,1,16,0,1,1,0,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2023-12-18,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,1,1,10,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,13,0,1
2023-12-25,1,1,0,1,0,0,0,0,0,0,0,0,1,1,5,0,1,8,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,0,2
2024-01-01,0,2,2,3,1,0,0,0,1,0,0,0,2,0,1,2,1,13,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,18,1,1
2024-01-08,0,1,1,0,4,0,0,0,0,0,0,0,0,0,2,1,0,9,0,1,1,0,1,1,0,1,9,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,12,2,1
2024-01-15,0,1,2,1,1,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2024-01-22,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,1,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2024-01-29,1,1,0,2,2,0,0,1,0,0,0,0,0,0,1,1,5,19,0,0,1,0,0,0,0,3,19,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2
2024-02-05,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,7,1,10,0,2,0,0,1,0,0,3,8,0,0,1,0,1,0,0,1,1,0,1,2,1,2,0,0,0,0,0,0
2024-02-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,12,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,1,1,5,1,0,0,0,0,2,0,0
2024-02-19,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,4,1,6,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,2,0,1
2024-02-26,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,1,6,0,2,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,3,0,0
2024-03-04,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,3,5,0,3,0,0,1,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
2024-03-11,0,1,3,1,1,0,0,0,0,0,0,0,0,0,2,0,2,14,0,0,0,0,1,0,0,2,8,1,1,0,1,2,0,0,0,0,1,2,5,2,4,0,0,0,3,0,1
2024-03-18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,1,0,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,2,0,3
2024-03-25,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,4,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,11,0,1
2024-04-01,0,8,1,2,4,0,0,0,0,0,0,0,0,0,1,7,1,6,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1
2024-04-08,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,8,5,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,3,0,1
2024-04-15,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,1,10,10,0,0,0,0,2,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3
2024-04-22,0,4,1,3,5,0,0,1,0,0,0,0,0,0,0,2,3,9,0,0,0,0,2,0,1,3,12,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,6
2024-04-29,0,6,1,0,9,0,0,0,1,0,0,0,1,0,0,6,0,9,0,1,1,0,1,0,0,0,11,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,4,0,0
2024-05-06,0,2,1,4,5,0,0,0,0,0,0,0,1,0,0,6,0,17,0,1,0,1,2,1,0,1,15,1,0,1,0,0,1,0,0,1,2,1,1,0,2,0,0,0,3,0,3
2024-05-13,0,1,3,0,10,0,0,1,0,0,0,0,1,0,0,5,0,19,0,1,0,0,1,0,0,3,13,1,0,0,0,0,3,0,0,0,0,0,2,5,3,0,0,0,2,0,2
2024-05-20,1,1,11,2,2,0,0,1,0,1,0,0,0,0,1,3,1,15,0,3,0,0,1,0,0,2,15,1,0,0,1,1,1,2,1,0,0,2,9,2,5,0,0,1,0,0,1
